VSWR,F,W,R,C,L
2,1995000,,100,2.12145199344095E-010,0.00003
2,3800000,,75,6.44213894464554E-011,0.00003
2,7042000,,100,2.553984317266E-010,0.000002
2,10135000,,100,1.23299910559126E-010,0.000002
2,2000000,,75,3.166E-009,7.26373628611339E-006
2,5000000,,100,0.000005066,2.0000233644362E-010
2,17000000,,100,3.166E-009,2.7684170162851E-008
2,25000000,,100,3.166E-009,1.28011602833023E-008
5,2000000,,100,5.38186227444251E-010,0.00003
5,5000000,,100,4.46219005183312E-011,0.00003
5,17000000,,100,3.14659662467834E-012,0.00003
5,25000000,,100,1.4199929171792E-012,0.00003
5,2000000,,100,3.166E-009,2.0233670642891E-005
5,5000000,,100,3.166E-009,7.61342474653255E-006
5,17000000,,100,3.166E-009,2.17280056411873E-006
5,25000000,,100,3.166E-009,1.4714803081733E-006
7,2000000,,101,1.90009939406217E-009,0.00003
7,5000000,,102,5.23819972267851E-011,0.00003
7,17000000,,103,3.26212731775702E-012,0.00003
7,25000000,,104,1.4540682191944E-012,0.00003
7,2000000,,101,3.166E-009,2.86674219673405E-005
7,5000000,,102,3.166E-009,1.09772797790084E-005
7,17000000,,103,3.166E-009,3.15930222244309E-006
7,25000000,,104,3.166E-009,2.14033072049259E-006
10,2000000,,100,-7.04806533468705E-010,0.00003
10,5000000,,100,7.03323154859456E-011,0.00003
10,17000000,,100,3.44887230815293E-012,0.00003
10,25000000,,100,1.50768768380775E-012,0.00003
10,2000000,,100,3.166E-009,0.000040985
10,5000000,,100,3.166E-009,0.000015914
10,17000000,,100,3.166E-009,4.61413594212565E-006
10,25000000,,100,3.166E-009,3.13158836521801E-006
15,2000000,,100,-2.17239408647995E-010,0.00003
15,5000000,,100,1.59814691129813E-010,0.00003
15,17000000,,100,3.80398006127879E-012,0.00003
15,25000000,,100,1.60394570857092E-012,0.00003
15,2000000,,100,3.166E-009,6.1150389431258E-005
15,5000000,,100,3.166E-009,2.39801122618794E-005
15,17000000,,100,3.166E-009,6.98653218627956E-006
15,25000000,,100,3.166E-009,4.74481781124266E-006
20,2000000,,100,2.5000125000625E-015,0.00003
20,5000000,,100,4.000008000016E-016,0.00003
20,17000000,,100,3.46020964787419E-017,0.00003
20,25000000,,1000,1.600000064E-018,0.000002
20,2000000,,100,3.166E-009,8.11787657591934E-005
20,5000000,,100,3.166E-009,3.19914627930535E-005
20,17000000,,100,3.166E-009,9.34281175427196E-006
20,25000000,,1000,3.166E-009,1.28011602833023E-008
