r,l,c,f
100,16000,0,1999000
25,0,1000,3000000
250,4000,0,4000000
100,0,510,5000000
5,125,0,6000000
30,0,170,7000000
2,0,375,8000000
15,0,250,9000000
2,0,8000,10000000
10,0,16,11000000
50,0,200,12000000
50,0,65,13000000
20,0,127,14000000
5,0,30,15000000
50,0,256,16000000
2,0,24,17000000
5,0,41,18000000
100,2000,0,19000000
20,0,60,20000000
100,20000,0,21000000
20,62,0,22000000
12,400,2000,24000000
20,750,0,27000000
5,0,24,28000000
25,400,2000,30000000
5,0,1000,5000000
40,7000,0,5000000
5,0,100,5000000
2,0,600,5000000
40,0,500,5000000
2,0,75,14000000
2,0,200,14000000
25,1000,0,14000000
500,0,8,14000000
50,0,200,14000000
2,0,8,21000000
2,0,0,21000000
100,10000,0,21000000
25,0,35,21000000
100,10000,0,28000000
2,0,32,28000000
